Perovskite,Tolerance_factor_old,Tolerance_factor_new,Temperature_K,Growth_K,A_source,A_amount_mmol,B1_source,B1_amount_mmol,B2_source,B2_amount_mmol,X_source,X_amount_mmol,Phosphine,Phosphine_amount_mmol,Amine,Amine_amount_mmol,Carboxylic_acid,Carboxylic_acid_amount_mmol,Solvent_I,S_I_amount_mL,Solvent_II,S_II_amount_mL,Total_amount,Bandgap,Bandgap_from,Time_min,Diameter_nm,Diameter_from,DOI,Articles
Cs2CuSbCl6,1.01,4.10,438,443,cesium_acetate,0.65,copper_II_acetate,0.22,antimony_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,1.98,oleic_acid,9.19,octadecene,10.00,0,0.00,10.00,1.66,tauc_plot,0.02,22.80,TEM,10.1021/acs.jpclett.0c01968,1
Cs2AgSbCl6,0.94,3.80,443,443,cesium_acetate,0.65,silver_acetate,0.45,antimony_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,2.00,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,3.10,tauc_plot,0.02,12.20,TEM,10.1021/acs.jpclett.0c01968,1
Cs2AgInCl6,0.96,3.79,493,493,cesium_carbonate,0.16,silver_nitrate,0.36,indium_III_chloride,0.36,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.68,octadecene,14.64,hydrochloric_acid,0.42,15.06,3.60,tauc_plot,5.00,22.80,TEM,10.1021/acs.jpclett.0c02553,2
Cs2AgBiBr6,0.90,3.79,413,413,cesium_carbonate,0.15,silver_nitrate,0.30,bismuth_III_neodecanoate,0.30,benzoyl_bromide,2.54,trioctylphosphine,0.30,oleylamine,0.73,oleic_acid,1.58,octadecene,10.00,0,0.00,10.00,2.28,tauc_plot,0.08,7.60,TEM,10.1007/s12274-020-3161-6,3
Cs2NaInCl6,0.97,3.84,438,448,cesium_acetate,0.65,sodium_acetate,0.45,indium_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,2.13,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,4.55,tauc_plot,0.02,12.50,TEM,10.1002/anie.201909525,4
Cs2AgInCl6,0.94,3.79,373,373,cesium_acetate,0.03,silver_acetate,0.05,indium_III_acetate,0.05,benzoyl_chloride,0.30,0,0.00,oleylamine,0.20,oleic_acid,0.80,xylene,1.00,0,0.00,1.00,4.15,tauc_plot,0.02,8.90,TEM,10.1021/acs.chemmater.8b04202,5
Cs2AgSbCl6,0.94,3.80,373,373,cesium_acetate,0.03,silver_acetate,0.02,antimony_III_acetate,0.05,2-ethyl_2-hexanoyl_chloride,0.60,0,0.00,oleylamine,0.20,oleic_acid,1.30,xylene,1.00,0,0.00,1.00,2.83,tauc_plot,0.02,8.30,TEM,10.1021/acs.chemmater.8b04202,5
Cs2AgInCl6,0.96,3.79,473,473,cesium_carbonate,0.10,silver_acetate,0.05,indium_III_acetate,0.20,chlorotrimethylsilane,3.55,0,0.00,oleylamine,0.70,oleic_acid,15.84,octadecene,6.13,0,0.00,6.13,3.33,tauc_plot,2.00,10.60,TEM,10.1021/acs.jpcc.8b12146,6
Cs2AgInCl6,0.96,3.79,453,453,cesium_carbonate,0.50,silver_acetate,0.50,indium_III_acetate,0.55,chlorotrimethylsilane,4.70,0,0.00,oleylamine,1.52,oleic_acid,3.17,octadecene,10.00,0,0.00,10.00,4.80,tauc_plot,0.50,12.40,TEM,10.1002/adom.202001866,7
Cs2AgBiBr6,0.90,3.96,418,418,cesium_acetate,0.70,silver_acetate,0.50,bismuth_III_acetate,0.50,bromotrimethylsilane,1.50,0,0.00,oleylamine,1.12,oleic_acid,4.75,octadecene,6.00,0,0.00,6.00,1.91,tauc_plot,0.50,8.90,TEM,10.1021/acsnano.0c00997,8
Cs2AgBiBr6,0.89,3.96,298,503,cesium_carbonate,0.09,silver_nitrate,0.20,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,6.08,oleic_acid,6.34,octadecene,8.00,hydrobromic_acid,0.20,8.20,2.52,tauc_plot,0.08,16.30,TEM,10.1016/j.jcat.2021.03.007,9
Cs2NaBiCl6,0.92,3.79,503,503,cesium_acetate,0.36,sodium_acetate,0.18,bismuth_III_acetate,0.18,chlorotrimethylsilane,1.97,0,0.00,oleylamine,1.00,oleic_acid,3.96,octadecene,5.00,0,0.00,5.00,3.41,tauc_plot,0.17,15.90,TEM,10.1002/adom.201901919,10
Cs2AgInCl6,0.96,3.79,453,453,cesium_carbonate,0.50,silver_acetate,0.50,indium_III_acetate,0.55,chlorotrimethylsilane,4.70,0,0.00,oleylamine,1.52,oleic_acid,3.17,octadecene,10.00,0,0.00,10.00,4.80,tauc_plot,0.50,12.40,TEM,10.1002/adom.202001866,11
Cs2AgBiBr6,0.90,3.96,433,433,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,bromotrimethylsilane,3.79,0,0.00,oleylamine,2.00,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,2.35,tauc_plot,0.50,10.00,TEM,10.1016/j.cplett.2021.138440,12
Cs2AgInCl6,0.96,3.79,443,443,cesium_carbonate,0.40,silver_acetate,0.35,indium_III_acetate,0.70,chlorotrimethylsilane,14.34,0,0.00,oleylamine,3.04,oleic_acid,6.34,octadecene,20.00,hydrochloric_acid,0.20,20.20,4.60,tauc_plot,2.00,11.60,TEM,10.1039/D1SE00754H,13
Cs2AgBiBr6,0.89,3.96,298,503,cesium_carbonate,0.08,silver_nitrate,0.20,bismuth_III_bromide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,3.95,oleic_acid,3.17,octadecene,4.00,hydrobromic_acid,0.07,4.07,2.06,tauc_plot,10.00,180.00,TEM,10.1021/acs.nanolett.0c04148,14
